groupID,dateTime,location,state,meetingTopic
20,8/23/2022 10:52,038 Dwight Pass,Louisiana,How to identify by beak
21,4/6/2021 20:29,163 Vahlen Pass,Oklahoma,Types of environments
7,6/9/2022 15:22,2799 Norway Maple Way,Nevada,Opinion on bird hunting
24,1/15/2022 16:19,18 Anzinger Hill,Virginia,How to identify by color
8,3/16/2021 14:59,0 Westport Trail,Ohio,How to identify by feet
24,9/10/2022 0:57,40208 Roxbury Avenue,North Dakota,How to identify by sizing
9,7/13/2021 22:22,4737 Mockingbird Terrace,Louisiana,Types of environments
6,1/27/2021 19:30,53305 Bultman Place,Tennessee,Types of genera
7,1/6/2022 13:14,155 Namekagon Hill,Texas,Types of genera
9,6/23/2022 4:52,02554 Dakota Trail,Georgia,How to navigate your account
21,7/30/2021 3:38,94768 Vernon Junction,Virginia,Upcoming Trips
11,6/20/2021 17:36,28 Troy Place,Nevada,How to identify by beak
2,4/8/2021 14:39,19639 Ridgeway Center,Missouri,New member meeting
2,9/22/2021 13:08,9 Heffernan Park,North Carolina,How to navigate your account
18,5/1/2022 4:40,60 Jenifer Road,Iowa,Opinion on bird hunting
25,11/7/2022 18:04,793 Debra Court,Arizona,Types of environments
14,4/10/2022 19:59,25 Knutson Road,Washington,General Meeting
23,8/20/2022 4:11,106 Reinke Avenue,California,How to navigate your account
10,5/14/2022 7:42,00 Wayridge Plaza,Arizona,Types of genera
9,10/30/2021 2:58,58 Rusk Point,Indiana,Opinion on bird hunting
16,4/14/2022 8:11,59526 Heath Point,Texas,How to identify by feet
25,8/22/2021 16:27,4183 Havey Junction,Texas,Annual Birder Convention
20,12/24/2021 13:01,7 Mayfield Alley,California,Types of environments
25,4/28/2021 16:19,677 Corben Street,Alabama,How to identify by beak
21,5/23/2021 12:43,66266 Arkansas Avenue,South Dakota,How to identify by color
17,8/10/2022 11:12,19 Fallview Hill,Connecticut,How to identify by sizing
21,10/6/2022 19:36,2 Corben Plaza,Colorado,How to identify by feet
9,10/15/2022 5:07,24924 4th Place,Michigan,Types of species
1,1/29/2022 20:22,03446 Vidon Pass,Colorado,Birder Discussion Panel
1,7/2/2021 10:45,25584 Jackson Terrace,Florida,Types of genera
5,7/23/2021 19:51,85388 Redwing Street,Kentucky,Opinion on bird hunting
2,4/9/2021 23:45,9684 Di Loreto Crossing,Alabama,Birder Discussion Panel
11,6/25/2021 20:51,0 Moland Avenue,Minnesota,How to identify by sizing
20,10/4/2021 5:00,3426 Clarendon Crossing,Maryland,Annual Birder Convention
22,2/20/2021 12:28,275 Anzinger Avenue,District of Columbia,How to identify by color
1,10/23/2022 19:17,7140 Heffernan Pass,District of Columbia,Upcoming Trips
4,2/24/2021 0:12,1523 Dryden Park,Georgia,Upcoming Trips
4,2/21/2021 14:43,797 Hagan Street,West Virginia,How to identify by beak
4,6/30/2021 22:56,07035 2nd Point,Iowa,How to identify by feet
25,5/4/2022 18:36,7638 Donald Junction,Michigan,How to identify by feet
3,5/8/2021 14:15,2141 Stoughton Plaza,Illinois,Annual Birder Convention
19,8/23/2021 4:52,5 Longview Alley,Ohio,Types of genera
19,6/6/2021 8:00,169 Annamark Court,California,Types of species
3,10/3/2022 4:40,30 Moulton Center,Ohio,Types of genera
16,6/27/2021 11:47,543 Lien Drive,Tennessee,New member meeting
15,2/21/2022 15:59,4 Thompson Trail,California,Birder Discussion Panel
15,5/22/2022 5:26,46 Corben Alley,Kentucky,Types of species
2,5/18/2022 6:53,3457 Tennyson Street,Florida,How to identify by wingspan
4,8/13/2022 6:54,9 Gateway Park,Minnesota,Types of environments
20,6/30/2022 0:37,50209 Lien Circle,Pennsylvania,Types of environments
6,11/5/2022 22:48,476 Stoughton Point,Texas,How to identify by beak
21,1/6/2022 12:33,24 Ruskin Place,Texas,Annual Birder Convention
9,10/5/2022 12:14,8 Harbort Park,South Carolina,Opinion on bird hunting
23,5/8/2021 10:34,6825 La Follette Junction,Louisiana,Types of environments
14,12/12/2021 7:17,273 Duke Avenue,Louisiana,How to identify by feet
10,9/27/2022 3:09,0 Golf Course Place,Oklahoma,Types of species
16,5/30/2022 1:13,1376 Manitowish Crossing,Florida,Upcoming Trips
14,3/1/2022 1:20,65 Hintze Circle,Virginia,Types of genera
13,5/22/2022 19:50,9 Fuller Place,South Carolina,How to identify by wingspan
11,3/17/2022 2:54,69836 Granby Point,Alabama,Upcoming Trips
5,2/6/2021 20:33,06 Stang Circle,Washington,How to identify by color
4,12/10/2021 3:02,0 Spaight Junction,Washington,How to identify by wingspan
12,1/21/2022 14:10,60444 Corben Plaza,New York,Upcoming Trips
16,3/19/2021 23:52,076 Springview Crossing,West Virginia,How to identify by beak
3,4/11/2021 12:31,8440 Sunnyside Avenue,North Carolina,How to navigate your account
3,1/25/2021 0:16,14832 Carey Junction,Illinois,Types of species
12,1/26/2022 13:27,64 Dixon Alley,Florida,How to navigate your account
9,11/18/2022 7:47,7 Northview Drive,Oklahoma,How to identify by beak
12,8/27/2022 8:35,6942 Dixon Center,New Mexico,General Meeting
3,8/31/2022 20:53,18 Nova Plaza,Florida,How to identify by beak
17,3/29/2021 0:08,30 Vermont Place,California,New member meeting
17,3/18/2021 20:48,5 Ryan Crossing,Missouri,How to identify by sizing
13,1/9/2022 17:08,2404 American Lane,Colorado,How to identify by beak
8,5/18/2022 8:07,20446 Hintze Parkway,California,Upcoming Trips
21,2/5/2022 8:45,15 Corry Road,Ohio,Upcoming Trips
17,6/5/2022 2:15,60629 Riverside Parkway,Nebraska,New member meeting
